Label (Grouping),INCOME IN 1999!!Households,"INCOME IN 1999!!Households!!Less than $10,000","INCOME IN 1999!!Households!!$10,000 to $14,999","INCOME IN 1999!!Households!!$15,000 to $24,999","INCOME IN 1999!!Households!!$25,000 to $34,999","INCOME IN 1999!!Households!!$35,000 to $49,999","INCOME IN 1999!!Households!!$50,000 to $74,999","INCOME IN 1999!!Households!!$75,000 to $99,999","INCOME IN 1999!!Households!!$100,000 to $149,999","INCOME IN 1999!!Households!!$150,000 to $199,999","INCOME IN 1999!!Households!!$200,000 or more",INCOME IN 1999!!Households!!Median household income (dollars),INCOME IN 1999!!Households!!With earnings!!Mean earnings (dollars)
Alabama,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,737,385","250,526","140,880","257,393","236,732","286,612","298,347","134,135","85,987","22,171","24,602","34,135","46,719"
        Percent,100,14.4,8.1,14.8,13.6,16.5,17.2,7.7,4.9,1.3,1.4,(X),(X)
Alaska,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"221,804","12,458","10,995","22,917","25,025","35,519","48,912","30,371","25,381","6,078","4,148","51,571","57,171"
        Percent,100,5.6,5,10.3,11.3,16,22.1,13.7,11.4,2.7,1.9,(X),(X)
Arizona,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,901,625","163,221","120,770","264,392","265,645","332,857","365,024","184,026","131,068","35,926","38,696","40,558","52,835"
        Percent,100,8.6,6.4,13.9,14,17.5,19.2,9.7,6.9,1.9,2,(X),(X)
Arkansas,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,042,807","139,262","89,901","174,093","156,910","182,881","170,245","67,095","39,574","10,118","12,728","32,182","42,936"
        Percent,100,13.4,8.6,16.7,15,17.5,16.3,6.4,3.8,1,1.2,(X),(X)
California,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"11,512,020","967,089","648,780","1,318,246","1,315,085","1,745,961","2,202,873","1,326,569","1,192,618","385,248","409,551","47,493","64,725"
        Percent,100,8.4,5.6,11.5,11.4,15.2,19.1,11.5,10.4,3.3,3.6,(X),(X)
Colorado,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
