Label (Grouping),Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more",Median income (dollars),Mean income (dollars)
Alabama,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,815,152",10.80%,7.40%,13.70%,11.90%,15.20%,17.00%,9.80%,9.00%,3.00%,2.10%,"40,474","55,778"
    Families,,,,,,,,,,,,,
        Estimate,"1,227,884",7.10%,4.40%,11.30%,11.20%,15.50%,19.40%,12.30%,11.80%,4.00%,2.90%,"50,429","65,730"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"868,946",2.20%,2.30%,7.70%,9.60%,15.50%,22.20%,15.60%,15.70%,5.40%,3.90%,"63,353","78,672"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"587,268",19.80%,14.10%,19.40%,13.30%,14.00%,11.20%,3.90%,3.00%,0.80%,0.50%,"22,840","33,431"
Alaska,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"254,610",4.20%,4.60%,8.10%,8.90%,12.20%,19.10%,13.30%,18.00%,6.40%,5.10%,"64,576","81,290"
    Families,,,,,,,,,,,,,
        Estimate,"170,859",3.00%,2.40%,6.30%,7.40%,10.60%,18.90%,15.00%,21.40%,8.20%,6.70%,"76,962","93,329"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"127,969",0.80%,0.80%,3.20%,5.50%,9.10%,19.00%,17.20%,25.50%,10.60%,8.30%,"91,194","107,127"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"83,751",8.30%,9.50%,13.30%,12.10%,15.30%,19.30%,9.40%,9.00%,2.40%,1.40%,"40,843","52,590"
Arizona,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,334,050",8.00%,5.80%,11.50%,11.90%,15.50%,18.80%,11.30%,11.00%,3.30%,3.00%,"46,789","62,838"
    Families,,,,,,,,,,,,,
        Estimate,"1,548,428",5.60%,4.00%,9.30%,10.90%,14.80%,20.60%,13.10%,13.50%,4.20%,3.90%,"55,353","71,580"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,134,229",2.60%,2.30%,7.00%,9.30%,14.30%,21.90%,15.40%,16.70%,5.40%,5.10%,"65,580","82,883"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"785,622",14.20%,9.90%,16.40%,14.20%,16.70%,14.40%,6.90%,5.00%,1.30%,1.10%,"31,424","42,770"
Arkansas,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,114,902",9.80%,7.70%,14.80%,13.70%,15.70%,17.10%,9.40%,7.80%,2.20%,1.80%,"38,307","52,382"
    Families,,,,,,,,,,,,,
        Estimate,"761,361",6.40%,4.40%,12.40%,13.20%,16.30%,20.00%,11.90%,10.20%,2.90%,2.30%,"47,049","61,359"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"554,946",2.00%,2.40%,9.00%,12.00%,16.80%,23.50%,14.80%,12.80%,3.70%,3.00%,"57,482","71,681"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"353,541",19.10%,15.30%,19.80%,14.60%,14.30%,10.00%,3.50%,2.30%,0.40%,0.60%,"22,420","31,367"
California,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
