Label (Grouping),SEX AND AGE!!Total population,SEX AND AGE!!Male,SEX AND AGE!!Female,SEX AND AGE!!Under 5 years,SEX AND AGE!!5 to 9 years,SEX AND AGE!!10 to 14 years,SEX AND AGE!!15 to 19 years,SEX AND AGE!!20 to 24 years,SEX AND AGE!!25 to 34 years,SEX AND AGE!!35 to 44 years,SEX AND AGE!!45 to 54 years,SEX AND AGE!!55 to 59 years,SEX AND AGE!!60 to 64 years,SEX AND AGE!!65 to 74 years,SEX AND AGE!!75 to 84 years,SEX AND AGE!!85 years and over,SEX AND AGE!!Median age (years),SEX AND AGE!!18 years and over,SEX AND AGE!!65 years and over,RACE!!White,RACE!!Black or African American,RACE!!American Indian and Alaska Native,RACE!!Asian,RACE!!Native Hawaiian and Other Pacific Islander,RACE!!Some other race
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"4,785,298","2,322,243","2,463,055","308,069","309,658","318,460","348,077","339,513","601,653","621,094","689,027","313,316","278,457","369,627","212,903","75,444",37.8,"3,649,870","657,974","3,382,838","1,290,667","56,024","64,811","2,500","56,447"
    Percent,"4,785,298",48.50%,51.50%,6.40%,6.50%,6.70%,7.30%,7.10%,12.60%,13.00%,14.40%,6.50%,5.80%,7.70%,4.40%,1.60%,(X),"3,649,870","657,974",70.70%,27.00%,1.20%,1.40%,0.10%,1.20%
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"713,985","372,436","341,549","53,582","49,870","52,372","51,610","55,974","103,690","93,460","112,229","50,489","37,370","34,197","15,070","4,072",33.8,"525,600","53,339","526,642","33,121","137,943","50,131","12,315","9,173"
    Percent,"713,985",52.20%,47.80%,7.50%,7.00%,7.30%,7.20%,7.80%,14.50%,13.10%,15.70%,7.10%,5.20%,4.80%,2.10%,0.60%,(X),"525,600","53,339",73.80%,4.60%,19.30%,7.00%,1.70%,1.30%
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"6,413,737","3,190,700","3,223,037","455,776","448,623","457,339","460,186","445,055","859,440","823,770","843,493","377,151","356,109","501,788","280,081","104,926",35.9,"4,781,326","886,795","5,242,273","312,920","333,890","227,244","23,994","454,796"
    Percent,"6,413,737",49.70%,50.30%,7.10%,7.00%,7.10%,7.20%,6.90%,13.40%,12.80%,13.20%,5.90%,5.60%,7.80%,4.40%,1.60%,(X),"4,781,326","886,795",81.70%,4.90%,5.20%,3.50%,0.40%,7.10%
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"2,921,606","1,430,837","1,490,769","194,451","195,858","201,519","210,433","199,923","368,047","371,843","405,044","181,907","172,506","235,270","132,036","52,769",37.3,"2,210,476","420,075","2,336,002","480,407","42,959","38,999","7,764","67,397"
    Percent,"2,921,606",49.00%,51.00%,6.70%,6.70%,6.90%,7.20%,6.80%,12.60%,12.70%,13.90%,6.20%,5.90%,8.10%,4.50%,1.80%,(X),"2,210,476","420,075",80.00%,16.40%,1.50%,1.30%,0.30%,2.30%
California,,,,,,,,,,,,,,,,,,,,,,,,,
