Label (Grouping),Total,"Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more",Median income (dollars),Mean income (dollars)
Alabama,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,888,504",8.10%,5.60%,10.90%,10.50%,13.20%,17.50%,11.80%,13.10%,4.90%,4.40%,"52,035","71,964"
    Families,,,,,,,,,,,,,
        Estimate,"1,234,552",4.60%,2.80%,7.70%,9.00%,12.60%,19.00%,14.30%,17.20%,6.70%,6.10%,"66,772","86,610"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"893,948",1.50%,1.30%,4.50%,6.70%,11.30%,19.60%,16.80%,21.60%,8.70%,8.10%,"82,058","102,291"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"653,952",15.60%,11.10%,17.80%,13.50%,14.10%,14.20%,6.50%,4.80%,1.20%,1.20%,"28,529","42,194"
Alaska,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"255,173",3.80%,2.90%,6.20%,6.70%,10.10%,18.30%,14.20%,19.30%,9.60%,8.80%,"77,790","98,811"
    Families,,,,,,,,,,,,,
        Estimate,"167,815",2.50%,1.60%,3.90%,5.40%,8.60%,17.30%,14.70%,22.90%,12.10%,11.00%,"92,648","112,443"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"127,312",0.80%,0.80%,2.30%,3.60%,7.40%,16.10%,14.70%,26.20%,14.40%,13.60%,"106,410","126,479"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"87,358",7.50%,6.00%,11.30%,10.10%,13.50%,20.40%,12.70%,11.30%,3.90%,3.40%,"51,651","66,220"
Arizona,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,643,430",5.90%,3.70%,8.60%,9.00%,13.30%,18.60%,13.20%,15.00%,6.10%,6.40%,"61,529","84,380"
    Families,,,,,,,,,,,,,
        Estimate,"1,720,736",3.90%,2.10%,6.20%,7.60%,12.10%,19.10%,14.80%,18.20%,7.80%,8.10%,"73,456","97,003"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,256,731",1.80%,1.20%,4.10%,5.70%,10.30%,18.70%,16.30%,21.70%,9.70%,10.50%,"86,678","111,864"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"922,694",11.10%,7.00%,13.90%,12.50%,15.90%,17.60%,9.10%,7.90%,2.40%,2.60%,"39,829","56,121"
Arkansas,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,170,544",7.40%,5.60%,11.90%,11.30%,14.10%,18.40%,11.60%,11.70%,4.00%,4.00%,"49,475","69,357"
    Families,,,,,,,,,,,,,
        Estimate,"770,111",4.40%,2.90%,8.30%,10.10%,13.80%,20.10%,14.30%,15.30%,5.40%,5.30%,"62,067","82,767"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"564,299",1.40%,1.40%,5.60%,8.00%,12.80%,21.10%,16.80%,19.00%,7.00%,6.90%,"74,618","96,214"
    Nonfamily households,,,,,,,,,,,,,
